Day fraction since midnight on 	pH probe (pH)	Source Pressure (Pa)	air valve control ()
0.633398154	4.125797749	-18.17252541	NaN
0.63340971	4.152249336	-18.17252541	NaN
0.63342129	4.133650303	-18.17252541	NaN
0.633432886	4.142268181	-18.17252541	NaN
0.633444424	4.132524014	-18.17252541	NaN
0.633456025	4.132292271	-18.17252541	NaN
0.633467566	4.097695828	-18.17252541	NaN
0.633479165	4.108286858	-18.17252541	NaN
0.633490728	4.066477776	-18.17252541	NaN
0.633502309	4.093765736	-18.17252541	NaN
0.633513861	4.070427895	-18.17252541	NaN
0.63352545	4.092092514	-18.17252541	NaN
0.633537041	4.062353611	-18.17252541	NaN
0.633548619	4.079287052	-18.17252541	NaN
0.633560178	4.050911427	-18.17252541	NaN
0.633571734	4.041538715	-18.17252541	NaN
0.633583332	4.037765503	-18.17252541	NaN
0.633594901	4.024647713	-18.17252541	NaN
0.633606472	4.033078194	-18.17252541	NaN
0.63361803	4.042659283	-18.17252541	NaN
0.633629621	4.034552097	-18.17252541	NaN
0.633641195	4.020145416	-18.17252541	NaN
0.633652776	4.044964314	-18.17252541	NaN
0.633664346	4.047862053	-18.17252541	NaN
0.633675922	4.058163166	-18.17252541	NaN
0.633687482	4.04145813	-18.17252541	NaN
0.633699076	4.020663738	-18.17252541	NaN
0.633710647	3.994972706	-18.17252541	NaN
0.633722217	4.007678509	-18.17252541	NaN
0.633733781	3.973972082	-18.17252541	NaN
0.633745364	4.013266563	-18.17252541	NaN
0.633756935	4.008142471	-18.17252541	NaN
0.633768517	4.032214165	-18.17252541	NaN
0.633780084	4.018245697	-18.17252541	NaN
0.633791654	4.002300739	-18.17252541	NaN
0.633803245	3.996449709	-18.17252541	NaN
0.633814793	4.001172066	-18.17252541	NaN
0.633826393	3.967264652	-18.17252541	NaN
0.633837975	4.003463268	-18.17252541	NaN
0.633849512	3.988629818	-18.17252541	NaN
0.633861101	4.01650095	-18.17252541	NaN
0.633872695	3.982328653	-18.17252541	NaN
0.633884248	4.007526875	-18.17252541	NaN
0.633895827	3.980038166	-18.17252541	NaN
0.63390741	4.004863262	-18.17252541	NaN
0.633918993	3.999180079	-18.17252541	NaN
0.633930552	4.01277256	-18.17252541	NaN
0.633942148	3.986312389	-18.17252541	NaN
0.633953698	3.980557442	-18.17252541	NaN
0.633965285	3.985015869	-18.17252541	NaN
0.633976837	3.96694088	-18.17252541	NaN
0.633988431	3.947672606	-18.17252541	NaN
0.634000006	3.960065842	-18.17252541	NaN
0.634011568	3.963240385	-18.17252541	NaN
0.634023151	3.961041689	-18.17252541	NaN
0.634034701	3.977900267	-18.17252541	NaN
0.634046276	3.991371393	-18.17252541	NaN
0.634057883	3.981478214	-18.17252541	NaN
0.634069423	3.980580568	-18.17252541	NaN
0.634081005	3.985833406	-18.17252541	NaN
0.634092575	3.97395134	-18.17252541	NaN
0.634104154	3.961672545	-18.17252541	NaN
0.634115744	3.934706926	-18.17252541	NaN
0.634127317	3.962625027	-18.17252541	NaN
0.63413888	3.955430985	-18.17252541	NaN
0.634150442	3.967826128	-18.17252541	NaN
0.634162032	3.945144177	-18.17252541	NaN
0.634173612	3.965894222	-18.17252541	NaN
0.634185181	3.933899164	-18.17252541	NaN
0.634196761	3.945818663	-18.17252541	NaN
0.634208341	3.935183048	-18.17252541	NaN
0.634219898	3.95605731	-18.17252541	NaN
0.634231474	3.929085255	-18.17252541	NaN
0.63424307	3.948436737	-18.17252541	NaN
0.63425462	3.943396807	-18.17252541	NaN
0.634266192	3.940156221	-18.17252541	NaN
0.634277779	3.922714949	-18.17252541	NaN
0.634289356	3.943263769	-18.17252541	NaN
0.634300931	3.922644615	-18.17252541	NaN
0.634312483	3.94160676	-18.17252541	NaN
0.634324094	3.932370901	-18.17252541	NaN
0.634335631	3.923968315	-18.17252541	NaN
0.634347218	3.927699566	-18.17252541	NaN
0.634358772	3.940652371	-18.17252541	NaN
0.634370351	3.929384947	-18.17252541	NaN
0.634381943	3.94084096	-18.17252541	NaN
0.634393513	3.956933737	-18.17252541	NaN
0.634405085	3.940771341	-18.17252541	NaN
0.634416654	3.929877281	-18.17252541	NaN
0.634428223	3.937788487	-18.17252541	NaN
0.634439802	3.935414076	-18.17252541	NaN
0.634451392	3.935367584	-18.17252541	NaN
0.63446297	3.952005148	-18.17252541	NaN
0.634474512	3.963386774	-18.17252541	NaN
0.634486124	3.98112464	-18.17252541	NaN
0.63449768	3.959681511	-18.17252541	NaN
0.63450926	3.958591223	-18.17252541	NaN
0.634520827	3.926130533	-18.17252541	NaN
0.634532416	3.951330662	-18.17252541	NaN
0.634543989	3.935875893	-18.17252541	NaN
0.63455555	3.940834284	-18.17252541	NaN
0.634567145	3.918750525	-18.17252541	NaN
0.634578697	3.928537607	-18.17252541	NaN
0.63459027	3.913337946	-18.17252541	NaN
0.634601854	3.942570686	-18.17252541	NaN
0.634613403	3.91933322	-18.17252541	NaN
0.634625008	3.961512327	-18.17252541	NaN
0.634636582	3.946989775	-18.17252541	NaN
0.63464816	3.951682806	-18.17252541	NaN
0.634659711	3.944440842	-18.17252541	NaN
0.6346713	3.95532155	-18.17252541	NaN
0.634682869	3.926028967	-18.17252541	NaN
0.63469446	3.93082571	-18.17252541	NaN
0.634706017	3.93210268	-18.17252541	NaN
0.634717582	3.941332102	-18.17252541	NaN
0.634729183	3.939599991	-18.17252541	NaN
0.634740762	3.958574534	-18.17252541	NaN
0.634752302	3.950163126	-18.17252541	NaN
0.634763879	3.940366983	-18.17252541	NaN
0.634775448	3.931060314	-18.17252541	NaN
0.634787043	3.922319174	-18.17252541	NaN
0.634798605	3.930755138	-18.17252541	NaN
0.634810182	3.945449829	-18.17252541	NaN
0.634821764	3.947291374	-18.17252541	NaN
0.634833326	3.954617024	-18.17252541	NaN
0.634844897	3.956703663	-18.17252541	NaN
0.63485649	3.938273192	-18.17252541	NaN
0.63486805	3.941128254	-18.17252541	NaN
0.634879627	3.928201437	-18.17252541	NaN
0.6348912	3.922976255	-18.17252541	NaN
0.634902774	3.935475349	-18.17252541	NaN
0.634914359	3.950550556	-18.17252541	NaN
0.634925936	3.950228453	-18.17252541	NaN
0.634937497	3.956174612	-18.17252541	NaN
0.634949056	3.928491592	-18.17252541	NaN
0.63496065	3.935005903	-18.17252541	NaN
0.63497221	3.92071557	-18.17252541	NaN
0.634983774	3.940754414	-18.17252541	NaN
0.634995353	3.930729151	-18.17252541	NaN
0.635006936	3.935987711	-18.17252541	NaN
0.635018534	3.919512272	-18.17252541	NaN
0.635030083	3.926948786	-18.17252541	NaN
0.635041655	3.902170181	-18.17252541	NaN
0.635053232	3.914044857	-18.17252541	NaN
0.635064812	3.897072792	-18.17252541	NaN
0.635076384	3.906139612	-18.17252541	NaN
0.635087979	3.900058985	-18.17252541	NaN
0.635099525	3.918838739	-18.17252541	NaN
0.635111117	3.927828789	-18.17252541	NaN
0.635122662	3.945907831	-18.17252541	NaN
0.635134255	3.927655459	-18.17252541	NaN
0.635145842	3.931208849	-18.17252541	NaN
0.635157386	3.911933422	-18.17252541	NaN
0.635168961	3.913932085	-18.17252541	NaN
0.635180565	3.901274204	-18.17252541	NaN
0.63519215	3.894266367	-18.17252541	NaN
0.635203697	3.88286233	-18.17252541	NaN
0.635215276	3.882420301	-18.17252541	NaN
0.635226854	3.890015125	-18.17252541	NaN
