Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.642257076	34869.54297	2.099959135	99597.58594	0.025441171	59758.55156	99597.58594	59758.55156	54758.55156	613.5	89.25599277	36782.50167
0.64231504	34672.625	2.318623781	99420.78125	0.025434332	59652.46875	99420.78125	59652.46875	54652.46875	613.5	89.08307865	39867.25215
0.642372928	34087.19141	2.520881176	99216.39844	0.025196982	59529.83906	99216.39844	59529.83906	54529.83906	613.5	88.88319326	42917.10528
0.642430774	30698.11719	2.727174044	98988.41406	0.024794755	59393.04844	98988.41406	59393.04844	54393.04844	613.5	88.66022565	45983.28563
0.642488569	29154.12891	2.920051336	98764.94531	0.024783294	59258.96719	98764.94531	59258.96719	54258.96719	613.5	88.44167431	49053.06247
0.642546467	31039.85352	3.162663221	98495.50781	0.025362339	59097.30469	98495.50781	59097.30469	54097.30469	613.5	88.17816575	52134.37648
0.642604364	31070.21289	3.396694422	98246.40625	0.024952046	58947.84375	98246.40625	58947.84375	53947.84375	613.5	87.93454564	55184.67808
0.642662303	28828.85547	3.710946083	98046.42188	0.024727027	58827.85313	98046.42188	58827.85313	53827.85313	613.5	87.7389619	58262.04515
