Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.630329798	66979.95313	2.094779015	102094	0.09902176	61256.4	102094	61256.4	56256.4	1411.05	39.86846674	61256.4
0.630387928	67461.57031	2.285608769	102010.0703	0.102266272	61206.04219	102010.0703	61206.04219	56206.04219	1411.05	39.83277856	61206.04219
0.630445698	67221.72656	2.470240831	101942.9766	0.098748899	61165.78594	101942.9766	61165.78594	56165.78594	1411.05	39.80424927	61165.78594
0.630504316	67638	2.649469376	101859.9219	0.102653242	61115.95313	101859.9219	61115.95313	56115.95313	1411.05	39.76893315	61115.95313
0.630561278	67448.53906	2.828223705	101781.5547	0.09892998	61068.93281	101781.5547	61068.93281	56068.93281	1411.05	39.73561023	61068.93281
0.630619909	67485.86719	3.014935732	101733.2344	0.102215026	61039.94063	101733.2344	61039.94063	56039.94063	1411.05	39.71506369	61039.94063
0.630677102	68049.71875	3.184914351	101673.5469	0.100160758	61004.12813	101673.5469	61004.12813	56004.12813	1411.05	39.68968366	61004.12813
0.630735667	68621.76563	3.358888865	101599.4297	0.103485596	60959.65781	101599.4297	60959.65781	55959.65781	1411.05	39.6581679	60959.65781
0.630793509	68238.21094	3.52921319	101551.6094	0.101016313	60930.96563	101551.6094	60930.96563	55930.96563	1411.05	39.63783397	60930.96563
0.630850943	69174.39844	3.696184635	101529.8672	0.104592609	60917.92031	101529.8672	60917.92031	55917.92031	1411.05	39.62858886	60917.92031
0.630908965	69198.30469	3.865925074	101476.2109	0.102069754	60885.72656	101476.2109	60885.72656	55885.72656	1411.05	39.6057734	60885.72656
0.630966737	69939.71094	4.023520947	101407	0.105025785	60844.2	101407	60844.2	55844.2	1411.05	39.57634386	60844.2
0.631024319	69862.28906	4.185564041	101395.625	0.10519317	60837.375	101395.625	60837.375	55837.375	1411.05	39.57150703	60837.375
0.631083055	69977.98438	4.343617439	101414.7422	0.104197231	60848.84531	101414.7422	60848.84531	55848.84531	1411.05	39.57963595	60848.84531
0.63113987	69849.6875	4.492102146	101427.0625	0.104891828	60856.2375	101427.0625	60856.2375	55856.2375	1411.05	39.58487474	60856.2375
0.631198351	69236.20313	4.64111805	101418.1484	0.102500667	60850.88906	101418.1484	60850.88906	55850.88906	1411.05	39.58108434	60850.88906
0.631256093	70014.33594	4.780601978	101417.4688	0.105014395	60850.48125	101417.4688	60850.48125	55850.48125	1411.05	39.58079533	60850.48125
0.631313757	69760.47656	4.908717632	101382.5469	0.105231588	60829.52813	101382.5469	60829.52813	55829.52813	1411.05	39.56594602	60829.52813
0.631372233	69523.39063	5.041821003	101313.2109	0.103143383	60787.92656	101313.2109	60787.92656	55787.92656	1411.05	39.53646332	60787.92656
0.631429978	69610.96094	5.175269604	101217.1406	0.104600128	60730.28438	101217.1406	60730.28438	55730.28438	1411.05	39.49561275	60730.28438
0.63148733	69133.01563	5.286766529	101113.0156	0.102916708	60667.80938	101113.0156	60667.80938	55667.80938	1411.05	39.45133721	60667.80938
0.631545869	69237.17969	5.410241127	100999.875	0.105068436	60599.925	100999.875	60599.925	55599.925	1411.05	39.40322809	60599.925
0.631603538	68897.05469	5.522937775	100875.9766	0.103154772	60525.58594	100875.9766	60525.58594	55525.58594	1411.05	39.35054459	60525.58594
0.631661648	69918.38281	5.640259266	100754.3828	0.106191172	60452.62969	100754.3828	60452.62969	55452.62969	1411.05	39.29884107	60452.62969
0.631718687	70129.39063	5.742215157	100638.7734	0.105877802	60383.26406	100638.7734	60383.26406	55383.26406	1411.05	39.2496822	60383.26406
0.631776726	70119.4375	5.839356422	100488.7266	0.106094643	60293.23594	100488.7266	60293.23594	55293.23594	1411.05	39.18587997	60293.23594
0.631835212	69956.3125	5.947414398	100357.1563	0.106478472	60214.29375	100357.1563	60214.29375	55214.29375	1411.05	39.12993427	60214.29375
0.631893102	69802.36719	6.046319485	100221.4844	0.10707629	60132.89063	100221.4844	60132.89063	55132.89063	1411.05	39.07224452	60132.89063
