Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.627540819	27110.55664	2.04790163	98556.54688	0.032884188	59133.92813	98556.54688	59133.92813	54133.92813	858.9	63.02704404	57202.39201
0.627598689	26934.69727	2.266913891	98507.61719	0.032895009	59104.57031	98507.61719	59104.57031	54104.57031	858.9	62.99286333	59104.57031
0.627656589	26907.70703	2.455111265	98475.60938	0.032828425	59085.36563	98475.60938	59085.36563	54085.36563	858.9	62.9705037	59085.36563
0.627714387	26826.49023	2.642675877	98437.59375	0.032878117	59062.55625	98437.59375	59062.55625	54062.55625	858.9	62.9439472	59062.55625
0.627772283	27720.00977	2.836598158	98373.05469	0.03307309	59023.83281	98373.05469	59023.83281	54023.83281	858.9	62.89886228	59023.83281
0.627830143	29515.17188	3.027086973	98320.125	0.033640668	58992.075	98320.125	58992.075	53992.075	858.9	62.8618873	58992.075
0.627888028	29708.38086	3.206278801	98261.72656	0.03339299	58957.03594	98261.72656	58957.03594	53957.03594	858.9	62.82109202	58957.03594
0.627945874	28806.48047	3.408226013	98202.98438	0.033311767	58921.79063	98202.98438	58921.79063	53921.79063	858.9	62.78005661	58921.79063
0.62800377	28493.94336	3.573609591	98151.11719	0.033322193	58890.67031	98151.11719	58890.67031	53890.67031	858.9	62.74382386	58890.67031
0.628061636	30887.78711	3.733598948	98090.4375	0.033876158	58854.2625	98090.4375	58854.2625	53854.2625	858.9	62.70143498	58854.2625
0.628119496	30835.24805	3.911389828	98029.96875	0.033694485	58817.98125	98029.96875	58817.98125	53817.98125	858.9	62.65919345	58817.98125
0.628177355	30253.49219	4.068617821	97994.02344	0.033614303	58796.41406	97994.02344	58796.41406	53796.41406	858.9	62.6340832	58796.41406
0.628235231	29808.32227	4.220099449	97968.92969	0.033581307	58781.35781	97968.92969	58781.35781	53781.35781	858.9	62.61655351	58781.35781
0.628293068	29337.73633	4.390815735	97948.99219	0.033424029	58769.39531	97948.99219	58769.39531	53769.39531	858.9	62.60262582	58769.39531
0.628351027	28848.07617	4.517782211	97920.1875	0.033384055	58752.1125	97920.1875	58752.1125	53752.1125	858.9	62.58250378	58752.1125
0.628408894	28779.0293	4.678430557	97867.66406	0.03348109	58720.59844	97867.66406	58720.59844	53720.59844	858.9	62.54581259	58720.59844
0.628466767	28938.72656	4.850200653	97861.1875	0.033461933	58716.7125	97861.1875	58716.7125	53716.7125	858.9	62.54128828	58716.7125
0.628524639	28526.87305	5.018663406	97810.40625	0.033318218	58686.24375	97810.40625	58686.24375	53686.24375	858.9	62.50581412	58686.24375
