Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.645382584	39779.12109	4.640124321	102279.2891	0.056278532	61367.57344	102279.2891	61367.57344	56367.57344	1349.7	41.76303878	41580.39737
0.645440428	42619.62891	2.835783005	102213.5703	0.059041829	61328.14219	102213.5703	61328.14219	56328.14219	1349.7	41.73382395	9899.965927
0.645961287	71907.33594	2.229964972	101688.1172	0.077529991	61012.87031	101688.1172	61012.87031	56012.87031	1349.7	41.50023732	61012.87031
0.646019111	71165.02344	2.583292007	101653.4531	0.076478448	60992.07188	101653.4531	60992.07188	55992.07188	1349.7	41.48482765	60992.07188
0.646076983	70065.50781	2.933317661	101621.1875	0.075327044	60972.7125	101621.1875	60972.7125	55972.7125	1349.7	41.47048418	60972.7125
0.646134865	66538.66406	3.245174408	101567.6875	0.068642737	60940.6125	101567.6875	60940.6125	55940.6125	1349.7	41.44670112	60940.6125
0.646192744	58254.24609	3.56921792	101521.5781	0.064433368	60912.94688	101521.5781	60912.94688	55912.94688	1349.7	41.42620351	60912.94688
0.646250585	51205.25391	3.907715321	101520.2734	0.060055742	60912.16406	101520.2734	60912.16406	55912.16406	1349.7	41.42562352	60912.16406
0.646308546	47101.66797	4.211166382	101514.5391	0.060843964	60908.72344	101514.5391	60908.72344	55908.72344	1349.7	41.42307434	60908.72344
