Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.641308894	44588.02344	2.011183262	100976.7422	0.037494595	60586.04531	100976.7422	60586.04531	55586.04531	1165.65	47.68673728	60586.04531
0.641320662	44032.78516	2.069773197	100976.7422	0.037134989	60586.04531	100976.7422	60586.04531	55586.04531	1165.65	47.68673728	60586.04531
0.641332245	44415.65234	2.119634628	100976.7422	0.03741598	60586.04531	100976.7422	60586.04531	55586.04531	1165.65	47.68673728	60586.04531
0.641343245	43434.37109	2.167138815	100976.7422	0.036967532	60586.04531	100976.7422	60586.04531	55586.04531	1165.65	47.68673728	60586.04531
0.641355447	45965.35156	2.229842186	100976.7422	0.038010977	60586.04531	100976.7422	60586.04531	55586.04531	1165.65	47.68673728	60586.04531
0.641367034	45204.19531	2.27926302	101525.0625	0.037225829	60915.0375	101525.0625	60915.0375	55915.0375	1165.65	47.96897654	60915.0375
0.641378446	45816.74219	2.331898689	101525.0625	0.037789645	60915.0375	101525.0625	60915.0375	55915.0375	1165.65	47.96897654	60915.0375
0.641390173	45049.55469	2.388529301	101525.0625	0.037180097	60915.0375	101525.0625	60915.0375	55915.0375	1165.65	47.96897654	60915.0375
0.641401301	45545.27344	2.439473629	101525.0625	0.03787536	60915.0375	101525.0625	60915.0375	55915.0375	1165.65	47.96897654	60915.0375
0.641413168	45350.35156	2.492843866	101525.0625	0.037263182	60915.0375	101525.0625	60915.0375	55915.0375	1165.65	47.96897654	60915.0375
0.641424871	45554.28125	2.542845011	101950.9922	0.037638031	61170.59531	101950.9922	61170.59531	56170.59531	1165.65	48.18821714	61170.59531
0.641436571	45079.16406	2.594491959	101950.9922	0.037048811	61170.59531	101950.9922	61170.59531	56170.59531	1165.65	48.18821714	61170.59531
0.641447737	45207.39063	2.642977476	101950.9922	0.037228633	61170.59531	101950.9922	61170.59531	56170.59531	1165.65	48.18821714	61170.59531
0.641459608	43706.05078	2.691854239	101950.9922	0.036694162	61170.59531	101950.9922	61170.59531	56170.59531	1165.65	48.18821714	61170.59531
0.641470549	44847.17188	2.735673428	101950.9922	0.037127033	61170.59531	101950.9922	61170.59531	56170.59531	1165.65	48.18821714	61170.59531
0.641482144	43422.20703	2.786491871	101800.8125	0.036666911	61080.4875	101800.8125	61080.4875	56080.4875	1165.65	48.11091451	61080.4875
