Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.632394992	47717.65625	2.125112534	98882.625	0.077496578	59329.575	98882.625	59329.575	54329.575	1288.35	42.16988784	59329.575
0.632452899	47629.13672	2.427306175	99525.07031	0.076895022	59715.04219	99525.07031	59715.04219	54715.04219	1288.35	42.4690823	59715.04219
0.632510773	47657.47266	2.71276331	100173.3281	0.076426541	60103.99688	100173.3281	60103.99688	55103.99688	1288.35	42.77098372	60103.99688
0.632568625	47742.00781	2.981624842	100800.3359	0.075957354	60480.20156	100800.3359	60480.20156	55480.20156	1288.35	43.06298876	60480.20156
0.632626493	48019.89063	3.274139404	101371.8906	0.075683462	60823.13438	101371.8906	60823.13438	55823.13438	1288.35	43.32916861	60823.13438
0.632684418	48224.21094	3.470326662	101984.8438	0.075300516	61190.90625	101984.8438	61190.90625	56190.90625	1288.35	43.61462821	61190.90625
0.632742284	47173.86328	3.602899313	102635.8281	0.072727307	61581.49688	102635.8281	61581.49688	56581.49688	1288.35	43.91779941	61581.49688
0.632800082	41236.34375	3.714452744	103271.8984	0.069618614	61963.13906	103271.8984	61963.13906	56963.13906	1288.35	44.21402496	61963.13906
0.632857939	36518.19141	3.927001476	103459.7813	0.067747771	62075.86875	103459.7813	62075.86875	57075.86875	1288.35	44.30152424	62075.86875
0.63291582	32975.31641	4.209863663	103245.9922	0.066640179	61947.59531	103245.9922	61947.59531	56947.59531	1288.35	44.20196011	61947.59531
0.632973764	30334.7207	4.395982266	103075.4766	0.066240985	61845.28594	103075.4766	61845.28594	56845.28594	1288.35	44.12254895	61845.28594
0.633031552	32633.9375	4.509527206	102898.7656	0.068038262	61739.25938	102898.7656	61739.25938	56739.25938	1288.35	44.04025255	61739.25938
0.633089534	36166.63672	4.700106621	102697.7813	0.069306074	61618.66875	102697.7813	61618.66875	56618.66875	1288.35	43.94665173	61618.66875
0.633147404	38477.03125	4.821044922	102484.3281	0.07005509	61490.59688	102484.3281	61490.59688	56490.59688	1288.35	43.84724405	61490.59688
0.633205237	36524.24609	4.926044941	102318.7578	0.068315205	61391.25469	102318.7578	61391.25469	56391.25469	1288.35	43.77013598	61391.25469
0.633263101	33795.70313	5.080249786	102159.8281	0.067954283	61295.89688	102159.8281	61295.89688	56295.89688	1288.35	43.69612052	61295.89688
0.633320911	31363.88477	5.208217144	102049.1406	0.066914686	61229.48438	102049.1406	61229.48438	56229.48438	1288.35	43.64457203	61229.48438
0.633378855	32430.30078	5.278665543	101884.1016	0.068412378	61130.46094	101884.1016	61130.46094	56130.46094	1288.35	43.56771137	61130.46094
0.633436719	35575.78906	5.409078121	101727.3672	0.069554478	61036.42031	101727.3672	61036.42031	56036.42031	1288.35	43.49471829	61036.42031
0.633494557	37998.05469	5.533246517	101554.6172	0.070622276	60932.77031	101554.6172	60932.77031	55932.77031	1288.35	43.41426655	60932.77031
0.633552421	39535.24219	5.620035648	101420.8281	0.071343843	60852.49688	101420.8281	60852.49688	55852.49688	1288.35	43.35195939	60852.49688
